data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time,type,obj_value
target,1732,0.1,0.5,1,2,190.0,0.0,195.0,0.0,650,17,650,164,1.0,OPTIMUM,0.81356,3.18316,4.28868,OPTIMUM,0.86978,5.84512,10.81256,OPTIMUM,0.8453,0.8014,5.67832,10.9352,main,486
wine,1732,0.1,0.5,1,0,32.0,0.0,57.0,0.0,1178,38,1178,71,0.804078926,OPTIMUM,0.1157,0.53886,0.67767,OPTIMUM,0.12417,0.75698,1.14094,OPTIMUM,0.12612,0.47241,0.83002,1.90706,main,1107
wingnut,1732,0.1,0.5,1,0,258.0,0.0,250.0,0.0,1094,9,1094,67,1.0,OPTIMUM,0.19937,0.18214,0.43729,OPTIMUM,0.2007,0.40072,5.16657,OPTIMUM,0.18711,0.16697,4.63997,1.00498,main,1027
chainlink,2352,0.1,0.7,1,0,338.0,3.0,353.0,6.0,989,11,989,11,0.956440411,OPTIMUM,0.22014,180.91115,181.17684,OPTIMUM,0.20992,0.32311,2.75465,OPTIMUM,0.19573,0.49184,2.90773,181.99179,main,978
ionosphere,2352,0.1,0.7,1,0,129.0,10.0,97.0,9.0,3577,29,3577,29,0.701987225,SATISFIABLE,0.36486,900.0166,900.46483,OPTIMUM,0.38043,12.24097,12.86677,OPTIMUM,0.44257,56.50611,57.19689,969.21191,main,3548
iris,2352,0.1,0.7,1,0,39.0,0.0,66.0,0.0,755,31,755,31,0.960266667,OPTIMUM,0.05485,0.15058,0.22035,OPTIMUM,0.0617,0.15874,0.41994,OPTIMUM,0.0648,0.08064,0.37203,0.45973,main,724
libras,2352,0.1,0.7,1,0,14.0,0.0,237.0,0.0,3342,1,3342,68,0.109286271,OPTIMUM,7.94751,65.2996,74.48343,OPTIMUM,7.68343,229.45769,238.84478,OPTIMUM,7.75366,824.33262,833.80495,1128.27374,main,3274
lsun,2352,0.1,0.7,1,0,95.0,0.0,185.0,0.0,923,4,923,104,1.0,OPTIMUM,0.10743,0.22319,0.37178,OPTIMUM,0.10282,0.95564,1.78569,OPTIMUM,0.10803,0.14323,0.99401,1.47065,main,819
seeds,2352,0.1,0.7,1,0,36.0,0.0,111.0,0.0,991,33,991,67,0.799910127,OPTIMUM,0.11181,0.25278,0.39252,OPTIMUM,0.11768,0.27723,1.24524,OPTIMUM,0.09308,0.19624,1.13426,0.86599,main,924
spam,2352,0.1,0.7,1,0,1428.0,284.0,557.0,951.0,2432,17,2432,17,0.189324532,SATISFIABLE,10.21995,900.02776,912.47145,OPTIMUM,10.24003,201.47103,241.21298,OPTIMUM,9.90049,179.8576,219.37709,1293.80008,main,2415
target,2352,0.1,0.7,1,0,263.0,0.0,276.0,0.0,649,0,649,13,0.98753585,OPTIMUM,0.90093,10.98106,12.1766,OPTIMUM,0.78905,3.64849,8.2841,OPTIMUM,0.84091,0.9105,5.45872,16.73559,main,636
target,2352,0.1,0.7,1,1,263.0,0.0,276.0,0.0,650,22,650,164,1.0,OPTIMUM,0.90093,10.98106,12.1766,OPTIMUM,0.84795,5.69607,10.24749,OPTIMUM,0.84574,0.80195,5.36269,18.67462,main,486
wine,2352,0.1,0.7,1,0,39.0,0.0,85.0,0.0,1217,4,1217,71,0.919182722,OPTIMUM,0.11655,1.82304,1.96793,OPTIMUM,0.12174,9.53011,9.76594,OPTIMUM,0.15943,1.32257,1.59593,12.82061,main,1146
wingnut,2352,0.1,0.7,1,0,337.0,0.0,374.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.19564,0.17219,0.42629,OPTIMUM,0.19627,0.29595,4.30853,OPTIMUM,0.18232,0.16329,3.89936,0.88553,main,1027
chainlink,2352,0.1,1.0,1,0,483.0,4.0,503.0,10.0,989,9,989,9,0.944728695,OPTIMUM,0.22001,166.59427,166.85799,OPTIMUM,0.21763,0.22029,2.69625,OPTIMUM,0.19946,0.40141,2.86137,167.47969,main,980
ionosphere,2352,0.1,1.0,1,0,188.0,11.0,126.0,26.0,3577,9,3577,28,0.681976375,SATISFIABLE,0.37552,900.01248,900.47464,OPTIMUM,0.38206,7.66066,8.31697,OPTIMUM,0.43023,51.52697,52.22398,959.66227,main,3549
iris,2352,0.1,1.0,1,0,59.0,0.0,91.0,0.0,755,31,755,31,0.941012256,OPTIMUM,0.05655,0.15969,0.22947,OPTIMUM,0.05953,0.11194,0.34853,OPTIMUM,0.06531,0.06971,0.34733,0.41112,main,724
libras,2352,0.1,1.0,1,0,18.0,0.0,342.0,0.0,3342,4,3342,68,0.177956293,OPTIMUM,7.7822,96.78144,105.78526,OPTIMUM,7.77695,1295.21407,1304.73425,OPTIMUM,7.80908,1482.56853,1492.14533,2883.56786,main,3274
lsun,2352,0.1,1.0,1,0,139.0,0.0,261.0,0.0,923,7,923,104,1.0,OPTIMUM,0.10451,0.21563,0.36607,OPTIMUM,0.10754,0.198,0.97199,OPTIMUM,0.11091,0.12494,0.91155,0.68901,main,819
seeds,2352,0.1,1.0,1,0,66.0,0.0,144.0,0.0,1058,20,1058,20,0.837944645,OPTIMUM,0.114,0.34738,0.47989,OPTIMUM,0.11792,0.59479,1.19744,OPTIMUM,0.09375,0.23584,0.82352,1.31052,main,1038
spam,2352,0.1,1.0,1,0,2002.0,466.0,1388.0,745.0,2432,0,2432,0,0.437807549,SATISFIABLE,10.64339,900.06125,912.89387,OPTIMUM,10.14845,72.16627,110.85954,OPTIMUM,9.60508,142.75302,180.94326,1127.81316,main,2432
target,2352,0.1,1.0,1,0,378.0,0.0,392.0,0.0,650,164,650,164,1.0,OPTIMUM,0.82068,2.95521,4.06931,OPTIMUM,0.81739,3.11811,7.61963,OPTIMUM,0.86482,0.85294,5.24008,8.04036,main,486
wine,2352,0.1,1.0,1,0,64.0,0.0,114.0,0.0,1217,44,1217,71,0.953758679,OPTIMUM,0.11717,0.78186,0.93188,OPTIMUM,0.12282,0.80059,1.01748,OPTIMUM,0.15892,0.75869,1.01534,2.49116,main,1146
wingnut,2352,0.1,1.0,1,0,483.0,0.0,533.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.20192,0.16212,0.42141,OPTIMUM,0.19629,0.28389,2.89509,OPTIMUM,0.4192,0.15381,2.99098,0.85911,main,1027
chainlink,2352,0.1,1.5,1,0,734.0,9.0,743.0,14.0,989,11,989,11,0.956440405,OPTIMUM,0.21753,655.42147,655.68672,OPTIMUM,0.2107,0.23078,2.74317,OPTIMUM,0.19483,0.3797,2.8814,656.2972,main,978
glass,2352,0.1,1.5,1,0,59.0,27.0,225.0,10.0,1477,5,1477,5,0.222152123,SATISFIABLE,0.34895,900.01491,900.45125,OPTIMUM,0.33435,395.37969,395.89605,OPTIMUM,0.31863,319.81652,320.36888,1615.64746,main,1472
ionosphere,2352,0.1,1.5,1,0,256.0,27.0,215.0,28.0,3577,28,3577,28,0.741919164,SATISFIABLE,0.36685,900.01466,900.46828,OPTIMUM,0.38182,6.11114,6.78967,OPTIMUM,0.44975,13.13968,13.88523,919.7191,main,3549
iris,2352,0.1,1.5,1,0,89.0,0.0,136.0,0.0,755,31,755,31,0.960266667,OPTIMUM,0.05902,0.13921,0.21143,OPTIMUM,0.06304,0.08124,0.2816,OPTIMUM,0.06482,0.08308,0.2902,0.37575,main,724
lsun,2352,0.1,1.5,1,0,226.0,0.0,374.0,0.0,923,104,923,104,1.0,OPTIMUM,0.10658,0.23801,0.38693,OPTIMUM,0.1038,0.14438,0.67753,OPTIMUM,0.10708,0.12347,0.65572,0.65478,main,819
seeds,2352,0.1,1.5,1,0,103.0,1.0,210.0,1.0,1058,18,1058,18,0.957451455,OPTIMUM,0.11474,3.40728,3.55114,OPTIMUM,0.12436,0.24463,0.66679,OPTIMUM,0.09645,0.21297,0.59892,4.00874,main,1040
spam,2352,0.1,1.5,1,0,2559.0,1098.0,2182.0,1062.0,2430,6,2430,6,0.345354309,SATISFIABLE,10.2262,900.06842,912.55707,OPTIMUM,10.04581,66.32225,105.59616,OPTIMUM,9.68354,122.97188,161.9237,1101.8512,main,2424
target,2352,0.1,1.5,1,0,577.0,0.0,578.0,0.0,650,4,650,164,1.0,OPTIMUM,0.8337,2.32399,3.45141,OPTIMUM,0.7981,3.71436,7.90523,OPTIMUM,0.6973,1.06219,4.9954,8.22796,main,486
wine,2352,0.1,1.5,1,0,94.0,0.0,173.0,0.0,1275,71,1275,71,0.983243858,OPTIMUM,0.12121,0.69462,0.84588,OPTIMUM,0.1216,0.53341,0.75774,OPTIMUM,0.15726,0.43435,0.68538,1.81364,main,1204
wingnut,2352,0.1,1.5,1,0,731.0,0.0,793.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.19786,0.15745,0.41228,OPTIMUM,0.19685,0.15807,2.15092,OPTIMUM,0.18058,0.15052,2.11454,0.72087,main,1027
chainlink,2352,0.1,1.75,1,0,856.0,11.0,866.0,17.0,989,11,989,11,0.956440405,SATISFIABLE,0.21655,900.01596,900.28105,OPTIMUM,0.21678,0.22106,2.75135,OPTIMUM,0.20017,0.28651,2.80918,900.78862,main,978
glass,2352,0.1,1.75,1,0,55.0,41.0,271.0,7.0,1478,3,1478,3,0.249360163,SATISFIABLE,0.33982,900.01766,900.45321,OPTIMUM,0.33149,164.70687,165.24169,OPTIMUM,0.31409,204.46348,205.02322,1269.62356,main,1475
ionosphere,2352,0.1,1.75,1,0,303.0,22.0,251.0,38.0,3577,99,3577,99,0.792215032,SATISFIABLE,0.37796,900.01284,900.4827,OPTIMUM,0.38598,6.17106,6.84629,OPTIMUM,0.43678,11.21165,11.93744,917.86541,main,3478
iris,2352,0.1,1.75,1,0,101.0,0.0,161.0,0.0,854,31,854,31,0.979932005,OPTIMUM,0.05668,0.08375,0.16335,OPTIMUM,0.06084,0.07829,0.26466,OPTIMUM,0.0654,0.06794,0.26442,0.30958,main,823
lsun,2352,0.1,1.75,1,0,260.0,0.0,440.0,0.0,923,13,923,104,1.0,OPTIMUM,0.10656,0.1873,0.33626,OPTIMUM,0.10474,0.12614,0.66073,OPTIMUM,0.10936,0.10849,0.64569,0.57089,main,819
seeds,2352,0.1,1.75,1,0,119.0,2.0,244.0,2.0,1058,18,1058,18,0.957451455,OPTIMUM,0.11137,16.83999,16.98178,OPTIMUM,0.11873,0.25769,0.62236,OPTIMUM,0.09244,0.17675,0.52326,17.41622,main,1040
spam,2352,0.1,1.75,1,0,2722.0,1544.0,2363.0,1422.0,2432,0,2432,0,0.265094972,SATISFIABLE,10.17497,900.08651,912.58502,OPTIMUM,10.30151,73.96641,112.13473,OPTIMUM,9.90519,63.13595,100.95103,1049.68738,main,2432
target,2352,0.1,1.75,1,0,669.0,0.0,678.0,0.0,650,7,650,164,1.0,OPTIMUM,0.82926,2.31851,3.44351,OPTIMUM,0.81013,2.76145,6.6397,OPTIMUM,0.70894,0.6824,4.30362,6.88736,main,486
wine,2352,0.1,1.75,1,0,107.0,0.0,204.0,0.0,1275,71,1275,71,0.966741109,OPTIMUM,0.11528,1.37891,1.52563,OPTIMUM,0.1214,0.70748,0.93746,OPTIMUM,0.15685,0.66841,0.93265,2.90152,main,1204
wingnut,2352,0.1,1.75,1,0,865.0,0.0,913.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.20206,0.16815,0.42785,OPTIMUM,0.19225,0.14437,1.93996,OPTIMUM,0.1808,0.14631,1.92462,0.71853,main,1027
chainlink,2352,0.1,2.0,1,0,987.0,12.0,979.0,22.0,989,11,989,11,0.960360326,SATISFIABLE,0.21861,900.01838,900.28519,OPTIMUM,0.21251,0.20437,2.75407,OPTIMUM,0.19493,0.32087,2.85996,900.81043,main,978
glass,2352,0.1,2.0,1,0,80.0,39.0,278.0,31.0,1477,9,1477,9,0.305395221,SATISFIABLE,0.34522,900.01742,900.44954,OPTIMUM,0.33492,186.50972,187.03848,OPTIMUM,0.3118,67.87037,68.42131,1154.82963,main,1468
ionosphere,2352,0.1,2.0,1,0,336.0,38.0,275.0,53.0,3577,174,3577,174,0.74175062,SATISFIABLE,0.37059,900.01533,900.48403,OPTIMUM,0.37655,8.89713,9.5701,OPTIMUM,0.43053,2.87194,3.59998,912.2531,main,3403
iris,2352,0.1,2.0,1,0,114.0,0.0,186.0,0.0,854,31,854,31,0.979932005,OPTIMUM,0.05674,0.07787,0.14804,OPTIMUM,0.06134,0.07657,0.25644,OPTIMUM,0.06593,0.08305,0.27443,0.30766,main,823
lsun,2352,0.1,2.0,1,0,301.0,0.0,499.0,0.0,923,11,923,104,1.0,OPTIMUM,0.10564,0.1915,0.34038,OPTIMUM,0.10633,0.13478,0.66809,OPTIMUM,0.10784,0.10955,0.64601,0.58471,main,819
seeds,2352,0.1,2.0,1,0,141.0,4.0,273.0,2.0,1058,21,1058,21,0.916389126,OPTIMUM,0.11193,99.02227,99.16046,OPTIMUM,0.118,0.25562,0.60766,OPTIMUM,0.09397,0.13215,0.45531,99.54823,main,1037
spam,2352,0.1,2.0,1,0,4373.0,501.0,699.0,3629.0,2430,4,2430,4,0.055525136,SATISFIABLE,10.49511,900.10437,912.88325,OPTIMUM,10.28057,48.25477,85.63025,OPTIMUM,9.97204,49.21575,86.27591,1010.35377,main,2426
target,2352,0.1,2.0,1,0,751.0,0.0,789.0,0.0,650,18,650,164,1.0,OPTIMUM,0.85418,2.37621,3.52546,OPTIMUM,0.79828,2.80033,6.583,OPTIMUM,0.69716,0.67118,4.20058,6.99697,main,486
wine,2352,0.1,2.0,1,0,126.0,0.0,230.0,0.0,1275,71,1275,71,1.0,OPTIMUM,0.11985,0.7379,0.89101,OPTIMUM,0.12494,0.50422,0.72791,OPTIMUM,0.15929,0.72552,0.98552,2.12075,main,1204
wingnut,2352,0.1,2.0,1,0,990.0,0.0,1042.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.19614,0.15685,0.41329,OPTIMUM,0.19769,0.25067,2.06099,OPTIMUM,0.18195,0.15117,1.93264,0.81513,main,1027
chainlink,2352,0.1,0.1,1,0,55.0,0.0,45.0,0.0,986,8,986,14,0.872228248,OPTIMUM,0.21565,0.25203,0.50756,OPTIMUM,0.21396,3.29349,8.33364,OPTIMUM,0.44314,1.65375,6.91299,5.4548,main,972
chainlink,2352,0.1,0.1,1,1,55.0,0.0,45.0,0.0,989,16,989,17,0.910025997,OPTIMUM,0.21565,0.25203,0.50756,OPTIMUM,0.19703,1.41105,6.41542,OPTIMUM,0.20038,1.47799,6.79789,3.3966,main,972
glass,2352,0.1,0.1,1,0,5.0,0.0,16.0,0.0,993,70,993,93,0.254118199,OPTIMUM,0.35346,1.12809,1.5493,OPTIMUM,0.33205,4.10921,5.83067,OPTIMUM,0.31156,1.50011,3.22535,7.15862,main,900
ionosphere,2352,0.1,0.1,1,0,15.0,0.0,20.0,0.0,3554,3,3554,102,0.26778552,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.37717,13.99743,14.9763,OPTIMUM,0.38596,34.83879,35.80005,55.83543,main,3452
ionosphere,2352,0.1,0.1,1,1,15.0,0.0,20.0,0.0,3557,112,3557,112,0.325924952,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.38016,15.52642,16.47754,OPTIMUM,0.37811,13.27933,14.23536,35.80496,main,3445
ionosphere,2352,0.1,0.1,1,2,15.0,0.0,20.0,0.0,3558,120,3558,158,0.188297985,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.37721,34.73012,35.74285,OPTIMUM,0.38109,36.9558,37.91355,78.68513,main,3400
ionosphere,2352,0.1,0.1,1,3,15.0,0.0,20.0,0.0,3560,195,3560,195,0.376262626,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.37643,20.09126,21.04119,OPTIMUM,0.3788,24.26692,25.2204,51.35739,main,3365
ionosphere,2352,0.1,0.1,1,4,15.0,0.0,20.0,0.0,3566,199,3566,199,0.380613687,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.37527,21.02637,22.03028,OPTIMUM,0.37751,39.16519,40.12971,67.19077,main,3367
ionosphere,2352,0.1,0.1,1,5,15.0,0.0,20.0,0.0,3567,201,3567,233,0.416882195,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.37896,17.73955,18.69893,OPTIMUM,0.37676,57.06738,58.02439,81.80614,main,3334
ionosphere,2352,0.1,0.1,1,6,15.0,0.0,20.0,0.0,3569,240,3569,240,0.455252918,OPTIMUM,0.35904,6.56323,6.99921,OPTIMUM,0.38046,45.00416,46.02271,OPTIMUM,0.38529,10.5159,11.47824,62.51927,main,3329
iris,2352,0.1,0.1,1,0,6.0,0.0,9.0,0.0,755,10,755,36,0.7697437,OPTIMUM,0.05672,0.11027,0.18201,OPTIMUM,0.06198,0.09901,0.7367,OPTIMUM,0.06779,0.10008,0.7223,0.3811,main,719
libras,2352,0.1,0.1,1,0,2.0,0.0,34.0,0.0,2862,2,2862,75,0.139883873,OPTIMUM,7.78032,26.59216,35.58144,OPTIMUM,7.8987,81.48942,92.28435,OPTIMUM,8.02174,366.81614,377.73141,483.887,main,2787
libras,2352,0.1,0.1,1,1,2.0,0.0,34.0,0.0,2992,77,2992,252,0.157239395,OPTIMUM,7.78032,26.59216,35.58144,OPTIMUM,8.02159,124.35552,135.25851,OPTIMUM,7.99521,906.98021,917.85311,1066.91717,main,2740
libras,2352,0.1,0.1,1,2,2.0,0.0,34.0,0.0,3192,257,3192,257,0.193745669,OPTIMUM,7.78032,26.59216,35.58144,OPTIMUM,7.82413,3213.75807,3224.42896,OPTIMUM,7.79249,194.60641,205.26548,3443.94592,main,2935
lsun,2352,0.1,0.1,1,0,9.0,0.0,31.0,0.0,829,2,829,2,0.536414345,OPTIMUM,0.10144,0.93865,1.06878,OPTIMUM,0.10386,1.72962,6.7403,OPTIMUM,0.109,1.30678,6.33519,4.10518,main,827
lsun,2352,0.1,0.1,1,1,9.0,0.0,31.0,0.0,833,3,833,11,0.612980637,OPTIMUM,0.10144,0.93865,1.06878,OPTIMUM,0.10921,0.3515,5.41164,OPTIMUM,0.10833,1.33981,6.43882,2.76009,main,822
lsun,2352,0.1,0.1,1,2,9.0,0.0,31.0,0.0,880,13,880,20,0.691145145,OPTIMUM,0.10144,0.93865,1.06878,OPTIMUM,0.1726,1.87721,6.9465,OPTIMUM,0.16862,2.2559,7.3913,5.20189,main,860
lsun,2352,0.1,0.1,1,3,9.0,0.0,31.0,0.0,914,23,914,25,0.93966708,OPTIMUM,0.10144,0.93865,1.06878,OPTIMUM,0.10743,1.73468,6.7592,OPTIMUM,0.10866,2.07387,7.14734,4.87733,main,889
lsun,2352,0.1,0.1,1,4,9.0,0.0,31.0,0.0,915,27,915,27,0.955161056,OPTIMUM,0.10144,0.93865,1.06878,OPTIMUM,0.10842,1.68778,6.73201,OPTIMUM,0.10869,2.05638,7.09088,4.81294,main,888
lsun,2352,0.1,0.1,1,5,9.0,0.0,31.0,0.0,923,32,923,104,1.0,OPTIMUM,0.10144,0.93865,1.06878,OPTIMUM,0.10857,1.08437,6.21057,OPTIMUM,0.1605,2.1385,7.24186,4.29165,main,819
seeds,2352,0.1,0.1,1,0,6.0,0.0,15.0,0.0,896,20,896,67,0.718748893,OPTIMUM,0.11079,0.08428,0.2124,OPTIMUM,0.11929,0.19911,2.45392,OPTIMUM,0.09662,0.23772,2.52914,0.64923,main,829
spam,2352,0.1,0.1,1,0,183.0,61.0,179.0,37.0,2429,1,2429,1,0.397781054,SATISFIABLE,10.63326,900.04945,912.73862,OPTIMUM,9.97918,349.63037,412.55973,OPTIMUM,9.63438,321.77658,383.98028,1584.14557,main,2428
target,2352,0.1,0.1,1,0,41.0,0.0,36.0,0.0,644,2,644,15,0.818099221,OPTIMUM,0.82221,3.30296,4.40791,OPTIMUM,0.79675,7.70202,12.53583,OPTIMUM,0.86654,1.61996,6.36927,13.72989,main,629
target,2352,0.1,0.1,1,1,41.0,0.0,36.0,0.0,647,17,647,26,0.964064475,OPTIMUM,0.82221,3.30296,4.40791,OPTIMUM,0.85453,3.96117,8.7085,OPTIMUM,0.98647,1.15893,6.03779,9.52801,main,621
target,2352,0.1,0.1,1,2,41.0,0.0,36.0,0.0,650,28,650,164,1.0,OPTIMUM,0.82221,3.30296,4.40791,OPTIMUM,0.8428,4.09255,8.82293,OPTIMUM,0.8414,0.76532,5.6574,9.26578,main,486
wine,2352,0.1,0.1,1,0,9.0,0.0,8.0,0.0,1178,1,1178,71,0.717283078,OPTIMUM,0.11414,0.15667,0.29317,OPTIMUM,0.12195,0.17912,0.50856,OPTIMUM,0.12567,0.32807,0.61958,0.80036,main,1107
wingnut,2352,0.1,0.1,1,0,55.0,0.0,46.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.19733,0.20586,0.46463,OPTIMUM,0.19465,0.43775,40.59248,OPTIMUM,0.18471,0.30246,40.24955,1.20484,main,1027
chainlink,2352,0.1,0.25,1,0,125.0,1.0,123.0,1.0,989,17,989,17,0.936960898,OPTIMUM,0.21057,7.88359,8.14932,OPTIMUM,0.21393,1.62066,6.86752,OPTIMUM,0.42527,1.48289,6.9605,11.25287,main,972
glass,2352,0.1,0.25,1,0,14.0,0.0,39.0,0.0,1122,22,1122,41,0.216751496,OPTIMUM,0.33916,6.44795,6.85687,OPTIMUM,0.33479,8.70681,9.2763,OPTIMUM,0.35331,33.59551,34.18124,49.15919,main,1081
iris,2352,0.1,0.25,1,0,16.0,0.0,21.0,0.0,755,9,755,36,0.868037728,OPTIMUM,0.05557,0.07635,0.1476,OPTIMUM,0.05974,0.09368,0.61449,OPTIMUM,0.0651,0.08301,0.59197,0.32429,main,719
libras,2352,0.1,0.25,1,0,2.0,0.0,88.0,0.0,2862,6,2862,75,0.128458788,OPTIMUM,7.90417,26.68665,35.81779,OPTIMUM,7.80644,85.20465,95.84252,OPTIMUM,7.75439,404.26241,414.90206,525.28485,main,2787
libras,2352,0.1,0.25,1,1,2.0,0.0,88.0,0.0,2992,78,2992,221,0.219338106,OPTIMUM,7.90417,26.68665,35.81779,OPTIMUM,7.81552,212.81571,223.48955,OPTIMUM,7.62028,487.46865,497.95619,736.10215,main,2771
lsun,2352,0.1,0.25,1,0,30.0,0.0,70.0,0.0,880,2,880,11,0.860361097,OPTIMUM,0.10165,0.93988,1.08236,OPTIMUM,0.10642,0.53365,5.2059,OPTIMUM,0.11264,1.7307,6.42115,3.34671,main,869
lsun,2352,0.1,0.25,1,1,30.0,0.0,70.0,0.0,923,12,923,104,1.0,OPTIMUM,0.10165,0.93988,1.08236,OPTIMUM,0.11213,1.43662,6.18295,OPTIMUM,0.11107,2.07596,6.74892,4.59494,main,819
seeds,2352,0.1,0.25,1,0,16.0,0.0,36.0,0.0,982,18,982,24,0.648109995,OPTIMUM,0.10957,0.11413,0.24664,OPTIMUM,0.11826,0.24213,1.28023,OPTIMUM,0.10153,0.20674,1.2615,0.69551,main,958
seeds,2352,0.1,0.25,1,1,16.0,0.0,36.0,0.0,991,33,991,67,0.776459366,OPTIMUM,0.10957,0.11413,0.24664,OPTIMUM,0.14072,0.21084,1.28396,OPTIMUM,0.09489,0.19226,1.21709,0.64974,main,924
spam,2352,0.1,0.25,1,0,465.0,153.0,401.0,131.0,2429,2,2429,2,0.460900067,SATISFIABLE,11.13649,900.04787,913.31211,OPTIMUM,10.5207,261.87638,301.92469,OPTIMUM,10.21884,245.37818,285.21764,1420.56667,main,2427
target,2352,0.1,0.25,1,0,100.0,0.0,92.0,0.0,646,1,646,5,0.917307338,OPTIMUM,0.82423,6.15423,7.26278,OPTIMUM,0.79728,13.66946,18.40894,OPTIMUM,0.86786,3.29066,7.94421,24.2229,main,641
target,2352,0.1,0.25,1,1,100.0,0.0,92.0,0.0,647,7,647,13,0.923494716,OPTIMUM,0.82423,6.15423,7.26278,OPTIMUM,0.84309,4.89423,9.53506,OPTIMUM,0.84265,1.44798,6.23688,13.60499,main,634
target,2352,0.1,0.25,1,2,100.0,0.0,92.0,0.0,650,15,650,164,1.0,OPTIMUM,0.82423,6.15423,7.26278,OPTIMUM,0.69817,3.72071,8.36487,OPTIMUM,0.84263,1.15369,5.77825,12.13718,main,486
wine,2352,0.1,0.25,1,0,15.0,0.0,29.0,0.0,1178,7,1178,71,0.737473258,OPTIMUM,0.12186,0.3047,0.45882,OPTIMUM,0.1234,0.39884,0.72484,OPTIMUM,0.12807,0.48816,0.78181,1.34582,main,1107
wingnut,2352,0.1,0.25,1,0,132.0,0.0,122.0,0.0,1094,67,1094,67,1.0,OPTIMUM,0.20434,0.19421,0.4567,OPTIMUM,0.20352,0.46787,11.96994,OPTIMUM,0.18646,0.21556,11.44717,1.14013,main,1027
chainlink,2352,0.1,0.5,1,0,257.0,0.0,236.0,7.0,989,9,989,9,0.94862459,OPTIMUM,0.21496,74.30141,74.56791,OPTIMUM,0.21807,0.72038,3.27401,OPTIMUM,0.1983,0.71406,3.24931,76.00235,main,980
glass,2352,0.1,0.5,1,0,27.0,0.0,80.0,0.0,1167,1,1167,5,0.215736029,OPTIMUM,0.34148,40.73143,41.14292,OPTIMUM,0.33528,1550.32976,1550.89762,OPTIMUM,0.35175,2248.89049,2249.47253,3840.36317,main,1162
glass,2352,0.1,0.5,1,1,27.0,0.0,80.0,0.0,1178,11,1178,11,0.417301664,OPTIMUM,0.34148,40.73143,41.14292,OPTIMUM,0.31777,2332.12684,2332.67851,OPTIMUM,0.36187,3271.3837,3271.98062,5644.65346,main,1167
glass,2352,0.1,0.5,1,2,27.0,0.0,80.0,0.0,1199,13,1199,13,0.434143003,OPTIMUM,0.34148,40.73143,41.14292,OPTIMUM,0.31117,787.85384,788.40517,OPTIMUM,0.36228,300.76901,301.36879,1129.76577,main,1186
ionosphere,2352,0.1,0.5,1,0,95.0,6.0,65.0,9.0,3577,9,3577,9,0.493305209,SATISFIABLE,0.36157,900.01237,900.46126,OPTIMUM,0.39119,199.42222,200.04978,OPTIMUM,0.4429,133.31695,133.9982,1233.20043,main,3568
iris,2352,0.1,0.5,1,0,31.0,0.0,44.0,0.0,755,29,755,31,0.903767579,OPTIMUM,0.05425,0.07108,0.13878,OPTIMUM,0.06132,0.12558,0.38725,OPTIMUM,0.06629,0.08114,0.37836,0.3455,main,724
libras,2352,0.1,0.5,1,0,7.0,0.0,173.0,0.0,3342,18,3342,68,0.106519319,OPTIMUM,7.84222,65.24249,74.34409,OPTIMUM,7.76444,124.41001,133.84857,OPTIMUM,7.7398,560.24984,569.68633,759.00394,main,3274
lsun,2352,0.1,0.5,1,0,64.0,0.0,136.0,0.0,923,34,923,104,1.0,OPTIMUM,0.10572,0.22492,0.3663,OPTIMUM,0.10732,1.13005,2.02672,OPTIMUM,0.11124,0.23826,1.20436,1.73461,main,819
seeds,2352,0.1,0.5,1,0,25.0,0.0,80.0,0.0,991,21,991,67,0.81355051,OPTIMUM,0.11359,0.28347,0.42503,OPTIMUM,0.11837,0.51549,1.52251,OPTIMUM,0.09774,0.24725,1.23254,1.18777,main,924
spam,2352,0.1,0.5,1,0,1026.0,209.0,635.0,430.0,2432,5,2432,5,0.424627598,SATISFIABLE,10.35243,900.05314,912.60368,OPTIMUM,9.94687,320.27265,359.72759,OPTIMUM,9.6633,186.93252,226.40091,1419.80885,main,2427
target,2352,0.1,0.5,1,0,192.0,0.0,193.0,0.0,649,3,649,13,0.987743619,OPTIMUM,0.82296,11.12915,12.23961,OPTIMUM,0.82645,13.82862,18.60192,OPTIMUM,0.8863,0.82531,5.51128,26.89354,main,636
