data,seed,e,kappa,cl_ml_ratio,p2_lm_b0,p2_lm_b1,p2_lm_loandra_status,p2_lm_solver_time,type,verify,p2_lp_b0,p2_lp_b1,p2_lp_loandra_status,p2_lp_solver_time
target,2352,0.1,1.5,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,3.40828
wine,2352,0.1,1.5,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.43514
wingnut,2352,0.1,1.5,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.15795
chainlink,2352,0.1,1.75,1,,,,,verify,lp,990.0,11.0,OPTIMUM,0.38038
glass,2352,0.1,1.75,1,,,,,verify,lp,1481.0,3.0,OPTIMUM,154.99871
ionosphere,2352,0.1,1.75,1,,,,,verify,lp,3577.0,99.0,OPTIMUM,9.52711
iris,2352,0.1,1.75,1,,,,,verify,lp,1219.0,31.0,OPTIMUM,0.06749
lsun,2352,0.1,1.75,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.12689
seeds,2352,0.1,1.75,1,,,,,verify,lp,1679.0,18.0,OPTIMUM,0.2479
spam,2352,0.1,1.75,1,,,,,verify,lp,2432.0,0.0,OPTIMUM,67.74437
target,2352,0.1,1.75,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,2.91042
wine,2352,0.1,1.75,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.66963
wingnut,2352,0.1,1.75,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.14742
chainlink,2352,0.1,2.0,1,,,,,verify,lp,990.0,11.0,OPTIMUM,0.30921
glass,2352,0.1,2.0,1,,,,,verify,lp,1481.0,9.0,OPTIMUM,62.14097
ionosphere,2352,0.1,2.0,1,,,,,verify,lp,3577.0,174.0,OPTIMUM,2.88924
iris,2352,0.1,2.0,1,,,,,verify,lp,1219.0,31.0,OPTIMUM,0.08357
lsun,2352,0.1,2.0,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.11642
seeds,2352,0.1,2.0,1,,,,,verify,lp,1679.0,21.0,OPTIMUM,0.25053
spam,2352,0.1,2.0,1,,,,,verify,lp,2432.0,4.0,OPTIMUM,45.02822
target,2352,0.1,2.0,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,2.87354
wine,2352,0.1,2.0,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.72097
wingnut,2352,0.1,2.0,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.15168
chainlink,2352,0.1,0.1,1,,,,,verify,lp,990.0,17.0,OPTIMUM,1.42972
glass,2352,0.1,0.1,1,,,,,verify,lp,1481.0,93.0,OPTIMUM,4.42325
ionosphere,2352,0.1,0.1,1,,,,,verify,lp,3577.0,240.0,OPTIMUM,2.48384
iris,2352,0.1,0.1,1,,,,,verify,lp,1219.0,36.0,OPTIMUM,0.23203
libras,2352,0.1,0.1,1,,,,,verify,lp,3802.0,257.0,OPTIMUM,343.60919
lsun,2352,0.1,0.1,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,3.95967
seeds,2352,0.1,0.1,1,,,,,verify,lp,1679.0,67.0,OPTIMUM,1.00026
spam,2352,0.1,0.1,1,,,,,verify,lp,2432.0,1.0,OPTIMUM,309.82591
target,2352,0.1,0.1,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,2.75425
wine,2352,0.1,0.1,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.21165
wingnut,2352,0.1,0.1,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,6.39769
chainlink,2352,0.1,0.25,1,,,,,verify,lp,990.0,17.0,OPTIMUM,1.51157
glass,2352,0.1,0.25,1,,,,,verify,lp,1481.0,41.0,OPTIMUM,6.07736
iris,2352,0.1,0.25,1,,,,,verify,lp,1219.0,36.0,OPTIMUM,0.13812
libras,2352,0.1,0.25,1,,,,,verify,lp,3802.0,221.0,OPTIMUM,278.10486
lsun,2352,0.1,0.25,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,3.06899
seeds,2352,0.1,0.25,1,,,,,verify,lp,1679.0,67.0,OPTIMUM,0.62108
spam,2352,0.1,0.25,1,,,,,verify,lp,2432.0,2.0,OPTIMUM,254.5377
target,2352,0.1,0.25,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,2.91086
wine,2352,0.1,0.25,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.33931
wingnut,2352,0.1,0.25,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,1.6504
chainlink,2352,0.1,0.5,1,,,,,verify,lp,990.0,9.0,OPTIMUM,1.07797
ionosphere,2352,0.1,0.5,1,,,,,verify,lp,3577.0,9.0,OPTIMUM,157.84739
iris,2352,0.1,0.5,1,,,,,verify,lp,1219.0,31.0,OPTIMUM,0.14632
libras,2352,0.1,0.5,1,,,,,verify,lp,3802.0,68.0,OPTIMUM,111.48634
lsun,2352,0.1,0.5,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,1.03215
seeds,2352,0.1,0.5,1,,,,,verify,lp,1679.0,67.0,OPTIMUM,0.52139
spam,2352,0.1,0.5,1,,,,,verify,lp,2432.0,5.0,OPTIMUM,281.30795
target,2352,0.1,0.5,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,2.68008
wine,2352,0.1,0.5,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.69286
wingnut,2352,0.1,0.5,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,1.35731
glass,2352,0.1,0.5,1,,,,,verify,lp,1481.0,13.0,OPTIMUM,49.77543
glass,2352,0.1,0.7,1,,,,,verify,lp,1481.0,12.0,OPTIMUM,4299.43763
glass,2352,0.1,1.0,1,,,,,verify,lp,1481.0,1.0,OPTIMUM,7063.55147
libras,2352,0.1,1.0,1,,,,,verify,lp,3802.0,68.0,OPTIMUM,958.52559
chainlink,3556,0.1,0.7,1,,,,,verify,lp,990.0,11.0,OPTIMUM,0.44651
ionosphere,3556,0.1,0.7,1,,,,,verify,lp,3577.0,99.0,OPTIMUM,10.53958
iris,3556,0.1,0.7,1,,,,,verify,lp,1219.0,23.0,OPTIMUM,0.219
lsun,3556,0.1,0.7,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.94697
seeds,3556,0.1,0.7,1,,,,,verify,lp,1679.0,20.0,OPTIMUM,1.22349
spam,3556,0.1,0.7,1,,,,,verify,lp,2432.0,17.0,OPTIMUM,243.77866
target,3556,0.1,0.7,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,11.22901
wine,3556,0.1,0.7,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.44399
wingnut,3556,0.1,0.7,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.4514
chainlink,3556,0.1,1.0,1,,,,,verify,lp,990.0,3.0,OPTIMUM,0.37923
ionosphere,3556,0.1,1.0,1,,,,,verify,lp,3577.0,99.0,OPTIMUM,4.21039
iris,3556,0.1,1.0,1,,,,,verify,lp,1219.0,23.0,OPTIMUM,0.14833
lsun,3556,0.1,1.0,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.89695
seeds,3556,0.1,1.0,1,,,,,verify,lp,1679.0,18.0,OPTIMUM,0.73611
spam,3556,0.1,1.0,1,,,,,verify,lp,2432.0,0.0,OPTIMUM,123.93812
target,3556,0.1,1.0,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,3.29696
wine,3556,0.1,1.0,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.5439
wingnut,3556,0.1,1.0,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.15298
chainlink,3556,0.1,1.5,1,,,,,verify,lp,989.0,11.0,OPTIMUM,0.30712
glass,3556,0.1,1.5,1,,,,,verify,lp,1481.0,3.0,OPTIMUM,172.70822
ionosphere,3556,0.1,1.5,1,,,,,verify,lp,3577.0,83.0,OPTIMUM,3.48708
iris,3556,0.1,1.5,1,,,,,verify,lp,1219.0,23.0,OPTIMUM,0.082
lsun,3556,0.1,1.5,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.11942
seeds,3556,0.1,1.5,1,,,,,verify,lp,1679.0,20.0,OPTIMUM,0.23971
spam,3556,0.1,1.5,1,,,,,verify,lp,2432.0,0.0,OPTIMUM,153.46624
target,3556,0.1,1.5,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,6.98135
wine,3556,0.1,1.5,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.52896
wingnut,3556,0.1,1.5,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.147
chainlink,3556,0.1,1.75,1,,,,,verify,lp,989.0,11.0,OPTIMUM,0.29267
glass,3556,0.1,1.75,1,,,,,verify,lp,1481.0,3.0,OPTIMUM,63.06772
ionosphere,3556,0.1,1.75,1,,,,,verify,lp,3577.0,28.0,OPTIMUM,5.22135
iris,3556,0.1,1.75,1,,,,,verify,lp,1219.0,23.0,OPTIMUM,0.09444
lsun,3556,0.1,1.75,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.11729
seeds,3556,0.1,1.75,1,,,,,verify,lp,1679.0,20.0,OPTIMUM,0.20099
spam,3556,0.1,1.75,1,,,,,verify,lp,2432.0,8.0,OPTIMUM,59.72428
target,3556,0.1,1.75,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,2.98883
wine,3556,0.1,1.75,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.27476
wingnut,3556,0.1,1.75,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.14515
chainlink,3556,0.1,2.0,1,,,,,verify,lp,989.0,11.0,OPTIMUM,0.31411
glass,3556,0.1,2.0,1,,,,,verify,lp,1481.0,11.0,OPTIMUM,28.73275
ionosphere,3556,0.1,2.0,1,,,,,verify,lp,3577.0,99.0,OPTIMUM,3.15386
iris,3556,0.1,2.0,1,,,,,verify,lp,1219.0,23.0,OPTIMUM,0.07112
lsun,3556,0.1,2.0,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.1205
seeds,3556,0.1,2.0,1,,,,,verify,lp,1679.0,20.0,OPTIMUM,0.17739
spam,3556,0.1,2.0,1,,,,,verify,lp,2430.0,3.0,OPTIMUM,95.90437
target,3556,0.1,2.0,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,6.61221
wine,3556,0.1,2.0,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.25425
wingnut,3556,0.1,2.0,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.15001
chainlink,3556,0.1,0.1,1,,,,,verify,lp,990.0,4.0,OPTIMUM,4.34074
glass,3556,0.1,0.1,1,,,,,verify,lp,1481.0,30.0,OPTIMUM,4.20475
ionosphere,3556,0.1,0.1,1,,,,,verify,lp,3577.0,502.0,OPTIMUM,6.52695
iris,3556,0.1,0.1,1,,,,,verify,lp,1219.0,33.0,OPTIMUM,0.33309
lsun,3556,0.1,0.1,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,2.77265
seeds,3556,0.1,0.1,1,,,,,verify,lp,1679.0,67.0,OPTIMUM,1.88879
spam,3556,0.1,0.1,1,,,,,verify,lp,2432.0,5.0,OPTIMUM,668.7314
target,3556,0.1,0.1,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,12.99855
wine,3556,0.1,0.1,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.47896
wingnut,3556,0.1,0.1,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,2.02432
chainlink,3556,0.1,0.25,1,,,,,verify,lp,990.0,4.0,OPTIMUM,1.57569
glass,3556,0.1,0.25,1,,,,,verify,lp,1481.0,30.0,OPTIMUM,4.46821
ionosphere,3556,0.1,0.25,1,,,,,verify,lp,3577.0,131.0,OPTIMUM,166.11603
iris,3556,0.1,0.25,1,,,,,verify,lp,1219.0,28.0,OPTIMUM,0.26883
lsun,3556,0.1,0.25,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,1.63963
seeds,3556,0.1,0.25,1,,,,,verify,lp,1679.0,60.0,OPTIMUM,0.81442
spam,3556,0.1,0.25,1,,,,,verify,lp,2432.0,6.0,OPTIMUM,250.28548
target,3556,0.1,0.25,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,3.57955
wine,3556,0.1,0.25,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.47124
wingnut,3556,0.1,0.25,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.42172
chainlink,3556,0.1,0.5,1,,,,,verify,lp,990.0,4.0,OPTIMUM,0.6963
ionosphere,3556,0.1,0.5,1,,,,,verify,lp,3577.0,99.0,OPTIMUM,95.40623
iris,3556,0.1,0.5,1,,,,,verify,lp,1219.0,23.0,OPTIMUM,0.13363
lsun,3556,0.1,0.5,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,0.92108
seeds,3556,0.1,0.5,1,,,,,verify,lp,1679.0,21.0,OPTIMUM,2.2391
spam,3556,0.1,0.5,1,,,,,verify,lp,2432.0,11.0,OPTIMUM,181.94887
target,3556,0.1,0.5,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,3.05445
wine,3556,0.1,0.5,1,,,,,verify,lp,1275.0,71.0,OPTIMUM,0.46061
wingnut,3556,0.1,0.5,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,0.37019
glass,3556,0.1,0.5,1,,,,,verify,lp,1481.0,21.0,OPTIMUM,380.02476
glass,3556,0.1,0.7,1,,,,,verify,lp,1481.0,14.0,OPTIMUM,4027.82539
glass,3556,0.1,1.0,1,,,,,verify,lp,1481.0,10.0,OPTIMUM,506.63632
libras,3556,0.1,0.1,1,,,,,verify,lp,3802.0,280.0,OPTIMUM,191.09967
libras,3556,0.1,0.5,1,,,,,verify,lp,3802.0,138.0,OPTIMUM,261.92154
libras,3556,0.1,0.7,1,,,,,verify,lp,3802.0,138.0,OPTIMUM,2191.03262
libras,3556,0.1,0.25,1,,,,,verify,lp,3802.0,187.0,OPTIMUM,168.55896
libras,3556,0.1,1.0,1,,,,,verify,lp,3802.0,107.0,OPTIMUM,8922.96253
chainlink,1732,0.1,0.0,1,,,,,verify,lp,990.0,39.0,OPTIMUM,25.71669
glass,1732,0.1,0.0,1,,,,,verify,lp,1481.0,534.0,OPTIMUM,5.9238
ionosphere,1732,0.1,0.0,1,,,,,verify,lp,3577.0,2370.0,OPTIMUM,2.04882
iris,1732,0.1,0.0,1,,,,,verify,lp,1219.0,153.0,OPTIMUM,1.12629
libras,1732,0.1,0.0,1,,,,,verify,lp,3802.0,635.0,OPTIMUM,113.37143
lsun,1732,0.1,0.0,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,13.24901
seeds,1732,0.1,0.0,1,,,,,verify,lp,1679.0,208.0,OPTIMUM,3.87927
spam,1732,0.1,0.0,1,,,,,verify,lp,2432.0,1355.0,OPTIMUM,83.57792
target,1732,0.1,0.0,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,17.75479
wine,1732,0.1,0.0,1,,,,,verify,lp,1275.0,387.0,OPTIMUM,0.71634
wingnut,1732,0.1,0.0,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,25.97743
chainlink,2352,0.1,0.0,1,,,,,verify,lp,990.0,39.0,OPTIMUM,25.71669
glass,2352,0.1,0.0,1,,,,,verify,lp,1481.0,534.0,OPTIMUM,5.9238
ionosphere,2352,0.1,0.0,1,,,,,verify,lp,3577.0,2370.0,OPTIMUM,2.04882
iris,2352,0.1,0.0,1,,,,,verify,lp,1219.0,153.0,OPTIMUM,1.12629
libras,2352,0.1,0.0,1,,,,,verify,lp,3802.0,635.0,OPTIMUM,113.37143
lsun,2352,0.1,0.0,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,13.24901
seeds,2352,0.1,0.0,1,,,,,verify,lp,1679.0,208.0,OPTIMUM,3.87927
spam,2352,0.1,0.0,1,,,,,verify,lp,2432.0,1355.0,OPTIMUM,83.57792
target,2352,0.1,0.0,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,17.75479
wine,2352,0.1,0.0,1,,,,,verify,lp,1275.0,387.0,OPTIMUM,0.71634
wingnut,2352,0.1,0.0,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,25.97743
chainlink,3556,0.1,0.0,1,,,,,verify,lp,990.0,39.0,OPTIMUM,25.71669
glass,3556,0.1,0.0,1,,,,,verify,lp,1481.0,534.0,OPTIMUM,5.9238
ionosphere,3556,0.1,0.0,1,,,,,verify,lp,3577.0,2370.0,OPTIMUM,2.04882
iris,3556,0.1,0.0,1,,,,,verify,lp,1219.0,153.0,OPTIMUM,1.12629
libras,3556,0.1,0.0,1,,,,,verify,lp,3802.0,635.0,OPTIMUM,113.37143
lsun,3556,0.1,0.0,1,,,,,verify,lp,1112.0,104.0,OPTIMUM,13.24901
seeds,3556,0.1,0.0,1,,,,,verify,lp,1679.0,208.0,OPTIMUM,3.87927
spam,3556,0.1,0.0,1,,,,,verify,lp,2432.0,1355.0,OPTIMUM,83.57792
target,3556,0.1,0.0,1,,,,,verify,lp,1000.0,164.0,OPTIMUM,17.75479
wine,3556,0.1,0.0,1,,,,,verify,lp,1275.0,387.0,OPTIMUM,0.71634
wingnut,3556,0.1,0.0,1,,,,,verify,lp,1261.0,67.0,OPTIMUM,25.97743
