data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time
glass,1732,0.1,0.5,1,0,34.0,0.0,73.0,0.0,1204,6,1204.0,6.0,0.466916494621944,OPTIMUM,0.33542,108.78133,109.17944,SATISFIABLE,0.33745,5412.51498,5413.1215,OPTIMUM,0.35696,5174.04437,5174.67185,10695.73879
glass,1732,0.1,0.7,1,0,40.0,0.0,108.0,1.0,0,0,,,,SATISFIABLE,0.33152,900.01871,900.43164,UNKNOWN,0.32817,5412.07347,5412.66603,,,,,6312.50511
glass,1732,0.1,1.0,1,1,47.0,9.0,155.0,3.0,0,0,,,,SATISFIABLE,0.34013,900.01398,900.44617,UNSATISFIABLE,0.33827,803.41188,804.00282,,,,,1703.85805
glass,1732,0.1,1.5,1,1,52.0,32.0,232.0,5.0,0,0,,,,SATISFIABLE,0.3389,900.01512,900.44851,UNSATISFIABLE,0.30883,105.13392,105.69259,,,,,1005.58243
glass,1732,0.1,1.75,1,1,70.0,26.0,266.0,12.0,0,0,,,,SATISFIABLE,0.34253,900.01723,900.45414,UNSATISFIABLE,0.30753,84.30706,84.79888,,,,,984.7612
glass,1732,0.1,2.0,1,1,69.0,45.0,296.0,18.0,0,0,,,,SATISFIABLE,0.3531,900.01321,900.45964,UNSATISFIABLE,0.30714,94.84186,95.33974,,,,,995.3015
glass,2352,0.1,0.0,1,11,,,,,0,0,,,,,,,0.0,UNSATISFIABLE,2.43196,0.67315,3.33455,,,,,0.67315
glass,2352,0.1,0.1,1,1,5.0,0.0,16.0,0.0,0,0,,,,OPTIMUM,0.35346,1.12809,1.5493,UNSATISFIABLE,0.30936,0.43612,2.16009,,,,,1.98542
glass,2352,0.1,0.25,1,1,14.0,0.0,39.0,0.0,0,0,,,,OPTIMUM,0.33916,6.44795,6.85687,UNSATISFIABLE,0.31366,0.87381,1.42025,,,,,7.730679999999999
glass,2352,0.1,0.5,1,3,27.0,0.0,80.0,0.0,0,0,,,,OPTIMUM,0.34148,40.73143,41.14292,UNSATISFIABLE,0.30757,0.72093,1.30309,,,,,41.86385
